tab_index,query,start_time,end_time,duration_s,status,notes,screenshot,exception
83,auto query 83,2025-09-30T08:03:39.000654Z,2025-09-30T08:03:39.884232Z,0.884,ok, result_links=0,,
84,auto query 84,2025-09-30T08:03:40.313472Z,2025-09-30T08:03:41.517105Z,1.204,ok, result_links=0,,
85,auto query 85,2025-09-30T08:03:41.951769Z,2025-09-30T08:03:43.188721Z,1.237,ok, result_links=0,,
86,auto query 86,2025-09-30T08:03:43.638182Z,2025-09-30T08:03:44.663764Z,1.026,ok, result_links=0,,
87,auto query 87,2025-09-30T08:03:45.094504Z,2025-09-30T08:03:46.347822Z,1.253,ok, result_links=0,,
88,auto query 88,2025-09-30T08:03:46.781746Z,2025-09-30T08:03:48.063403Z,1.282,ok, result_links=0,,
89,auto query 89,2025-09-30T08:03:48.571611Z,2025-09-30T08:03:49.526254Z,0.955,ok, result_links=0,,
90,auto query 90,2025-09-30T08:03:49.965632Z,2025-09-30T08:03:51.089745Z,1.124,ok, result_links=0,,
91,auto query 91,2025-09-30T08:03:51.574302Z,2025-09-30T08:03:52.544242Z,0.97,ok, result_links=0,,
92,auto query 92,2025-09-30T08:03:52.988126Z,2025-09-30T08:03:54.358710Z,1.371,ok, result_links=0,,
93,auto query 93,2025-09-30T08:03:54.839927Z,2025-09-30T08:03:55.881456Z,1.042,ok, result_links=0,,
94,auto query 94,2025-09-30T08:03:56.318248Z,2025-09-30T08:03:57.602625Z,1.284,ok, result_links=0,,
95,auto query 95,2025-09-30T08:03:58.058997Z,2025-09-30T08:03:59.058571Z,1.0,ok, result_links=0,,
96,auto query 96,2025-09-30T08:03:59.507214Z,2025-09-30T08:04:00.965741Z,1.458,ok, result_links=0,,
97,auto query 97,2025-09-30T08:04:01.454284Z,2025-09-30T08:04:02.383789Z,0.929,ok, result_links=0,,
98,auto query 98,2025-09-30T08:04:02.827679Z,2025-09-30T08:04:03.921147Z,1.093,ok, result_links=0,,
99,auto query 99,2025-09-30T08:04:04.404835Z,2025-09-30T08:04:05.526122Z,1.121,ok, result_links=0,,
